section_id,indexed_text
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,Manage revenue recognition for Receivables: revenue policies and revenue contingencies.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,Suppliers
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,Configure options for suppliers and supplier data.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,Transaction Tax
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,"Manage tax configuration, including tax regimes, taxes, and tax rates."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,U.S. Federal Financials
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,Manage the financial management system options specifically defined for U.S. Federal agencies.
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,"Note: Enable U.S. Federal Financials only if you are a U.S. federal agency. When you enable U.S. Federal Financials, you incorporate processes, data elements, reporting, and accounting methods specific to federal agencies."
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,Related Topics
Oracle Fusion Cloud Financials|1 Introduction to Oracle Accounting Hub Cloud|Financials Offering,Plan Your Implementation
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Overview of Enterprise Structures
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Oracle Applications have been designed to ensure your enterprise can be modeled to meet legal and management objectives. The decisions about your implementation of Oracle Applications are affected by your:
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Industry
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Business unit requirements for autonomy
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Business and accounting policies
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"Business functions performed by business units and optionally, centralized in shared service centers"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Locations of facilities
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Every enterprise has three fundamental structures that describe its operations and provide a basis for reporting.
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Legal
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Managerial
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Functional
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,These structures are implemented using the chart of accounts and organization hierarchies. Many alternative hierarchies can be implemented and used for reporting.
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Related Topics
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Enterprise Structures Business Process Model
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Guidelines for Configuring Global Enterprises
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Model Your Enterprise Management Structure
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Overview of Diagnostic Tests for Enterprise Structures Setup
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Overview of Common Financials Configuration for Rapid Implementation
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,You can use the Rapid Implementation for General Ledger workbook template to rapidly implement the following common setup objects for enterprise structures:
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"Chart of accounts, including value sets, value set values, structures, and structure instances"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"Account hierarchies, represented in the application through trees and tree versions"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Accounting calendars (monthly type only)
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Legal entities
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Primary ledgers with legal entity assignments to primary balancing segment values
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Business units
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Rules of generating sequential IDs for transactions recorded in the application
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"Select setup objects along with their accounting specifications, for various Financial applications"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Related Topics
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Overview of Enterprise Structures Rapid Implementation
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"Create Chart of Accounts, Ledger, Legal Entities, and Business Units in Spreadsheets"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"How Charts of Accounts, Ledgers, Legal Entities, and Business Units Are Created Using Spreadsheets"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Manage Setup Using Implementation Projects
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Overview of Initial Configuration with the Enterprise Structures Configurator
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,The Enterprise Structures Configurator is an interview-based tool that guides you through the process of setting up a basic enterprise structure.
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"By answering questions about your enterprise, the tool creates a structure of divisions, legal entities, business units, and reference data sets that reflects your enterprise structure. After you create your enterprise structure, you also follow a guided process to determine whether to use positions, and whether to set up additional attributes for jobs and positions. After you define your enterprise structure and your job and position structures, you can review them, make any necessary changes, and then load the final configuration."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Related Topics
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,How You Establish Enterprise Structures Using the Enterprise Structures Configurator
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Design an Enterprise Configuration
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,FAQs for Define Initial Configuration
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,What happens if I don't use the Enterprise Structures Configurator to set up my enterprise structures?
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"The Enterprise Structures Configurator is an interview-based tool that guides you through setting up divisions, legal entities, business units, and reference data sets."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"If you don't use the Enterprise Structures Configurator, then you must set up your enterprise structure using the individual tasks that correspond to each enterprise component. In addition, you can't set up multiple configurations and compare different scenarios. Using the Enterprise Structures Configurator is the recommended process for setting up your enterprise structures."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,What's an ultimate holding company?
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"The legal entity that represents the top level in your organization hierarchy, as defined by the legal name entered for the enterprise. This designation is used only to create an organization tree, with these levels:"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Ultimate holding company as the top level
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Divisions and country holding companies as the second level
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Legal employers as the third level
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Enterprise for Oracle Accounting Hub
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Define Enterprises
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,An enterprise is a collection of legal entities sharing common control and management.
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Enterprise Defined
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"When implementing Oracle Fusion Cloud Applications you operate within the context of an enterprise that has already been created in the application for you. This is either a predefined enterprise or an enterprise that has been created in the application by a system administrator. An enterprise organization captures the name of the deploying enterprise and the location of the headquarters. In Oracle Fusion Applications, an organization classified as an enterprise is defined before defining any other organizations in the HCM Common Organization Model. All other organizations are defined as belonging to an enterprise."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Enterprise Information for Non-HCM Users
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"The Manage Enterprise HCM Information task includes default settings for your enterprise such as the employment model, worker number generation, and so on."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"If you're not implementing Oracle Fusion Human Capital Management (HCM), then the only action you may need to perform using this task is to change the enterprise name, if necessary. The other settings are HCM-specific and aren't relevant outside of Oracle Fusion HCM."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Overview of Legal Jurisdictions and Authorities
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,You are required to register your legal entities with legal authorities in the jurisdictions where you conduct business. Register your legal entities as required by local business requirements or other relevant laws.
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"For example, register your legal entities for tax reporting to report sales taxes or value added taxes."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"Define jurisdictions and related legal authorities to support multiple legal entity registrations, which are used by Oracle Fusion Tax and Oracle Fusion Payroll. When you create a legal entity, the Oracle Fusion Legal Entity Configurator automatically creates one legal reporting unit for that legal entity with a registration."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Related Topics
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Jurisdictions
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"Create Legal Jurisdictions, Addresses and Authorities"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Overview of Geographies
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,Setting up your geography structure and master geographies correctly in the Trading Community Model is critical to the proper use and management of Oracle Enterprise Resource Planning (ERP) Cloud applications.
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"The geography structure and master geography data is shared across multiple product families and applications. Address validation ensures complete and valid master address data across all location entities across product applications. In addition, complete and valid master data is critical for accurate transaction tax calculation."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,You can either define your geography structure and corresponding master geographies manually or import these geography entities. You can use the:
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub,"1. Manage Geographies page 2. Import Management process For more information about managing your geographies, see the Geographies section in the Define Enterprise Structures chapter in the Oracle ERP Cloud Implementing Common Features for Financials and Project Management guide on Oracle Help Center (https://docs.oracle.com)."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Manage Geographies,"Use the Manage Geographies page to manually define your geography structure, hierarchy, mapping, and validation. Manually define your geographies when you have a simple geography requirement with a limited number of geographies within an individual country."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Use the Import Management process to read the data included in your XML or text file and import the data into the application.
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,"To access Import Management functionality, go to Navigator > Tools > Import Management ."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,"For more information, see the Import Your Geography Data topic."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Related Topics
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,"How do I manage Geography Structures, Hierarchies, and Validation?"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Overview of Legal Entities
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,A legal entity is a recognized party with rights and responsibilities given by legislation.
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Here are the rights and responsibilities of legal entities:
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Own property
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Trade
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Repay debt
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,"Account for themselves to regulators, taxation authorities, and owners according to rules specified in the relevant legislation"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,"Their rights and responsibilities may be enforced through the judicial system. Define a legal entity for each registered company or other entity recognized in law for which you want to record assets, liabilities, expenses and income, pay transaction taxes, or perform intercompany trading."
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Related Topics
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Overview
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,"Create Legal Entities, Registrations, and Reporting Units"
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,How You Create Legal Entities in the Enterprise Structures Configurator
Oracle Fusion Cloud Financials|2 Enterprise Structures for Oracle Accounting Hub|Import Management,Model Legal Entities
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Financial Reporting Structure
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Define your enterprise structures in your chart of accounts to track and report on your financial objectives and meet your reporting requirements.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,The benefit of representing your enterprise in the chart of accounts is the functionality which includes multidimensional reporting with its Essbase tool. Segments included in the chart of accounts become dimensions in Essbase. The recorded data is automatically loaded into the Essbase cube when you post your journal entries. The Essbase tool includes powerful functionality for analysis and reporting on your financial data.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Related Topics
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Represent Your Enterprise Structure in Your Chart of Accounts
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Financial Enterprise Structure Components
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Model Your Financial Reporting Structure
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Chart of Accounts
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Chart of Accounts
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"The chart of accounts is the underlying structure for organizing financial information and reporting. An entity records transactions with a set of codes representing balances by type, expenses by function, and other divisional or organizational codes that are important to its business."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"The chart of accounts facilitates aggregating data from different operations, from within an operation, and from different business flows, thus enabling the organization to report using consistent definitions to their stakeholders in compliance with legislative and corporate reporting standards and aiding in management decisions."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Related Topics
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Chart of Accounts
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Chart of Accounts Components
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Essbase Character and Word Limitations
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Chart of Accounts Structures and Instances
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"In Oracle Fusion General Ledger, the chart of accounts model is framed around the concept of a chart of accounts structure, under which one or more chart of accounts structure instances can be created."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Consider the critical choices list here when creating your chart of accounts.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Chart of Accounts Structure
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"When creating the segments for the chart of accounts structure, you must enter segment sequence numbers that are consecutive and begin with the number one."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Chart of Accounts Structure Instance
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"For segments in your chart of account structure instance that you expect to contain a large number of distinct values, you must perform the following steps:"
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"In the chart of accounts definition, mark the segment query required option as selectively required . To perform searches in the transactional user interface, you have to specify the following segment as a mandatory search criteria ."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Create required indexes in the GL_CODE_COMBINATIONS table for segments that are selectively required.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"CAUTION: For the Accounting Key Flexfield value sets used in your chart of accounts structure and instance, you must use independent validation only. If you use other validations, you may not be able to use the full chart of accounts functionality, such as data security, reporting, and account hierarchy integration."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Creating and Configuring Chart of Accounts Structure and Instances
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"In Oracle General Ledger, the chart of accounts model is framed around the concept of a chart of accounts structure, for which one or more chart of accounts structure instances can be created."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"A chart of accounts structure defines the key attributes for your chart of accounts. These attributes include the number of segments, the segment sequences, the segment names, segment prompts, segment labels, for example natural account and primary balancing, and default value sets."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Related Topics
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Create a Chart of Accounts Structure and Instance
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Example of One Chart of Accounts Structure with Many Instances
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Configure Chart of Account Segments for Business Intelligence
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Cost Centers and Departments
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,FAQs for Manage Charts of Accounts
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,How can I use future accounting segments?
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,To plan for future growth in the business organization that requires additional segments in the chart of accounts. Extra segments can be added to the chart of accounts structure during your original implementation.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,All segments of the chart of accounts are required and have to be enabled. The unused segments can be assigned value sets that have a single value in the chart of accounts structure instance. The value is set as a default for that segment so that the extra segments are automatically populated when an account account combination is used.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Value Sets
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,A value set is a group of valid values that you assign to a flexfield segment to control the values that are stored for business object attributes.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,A user enters a value for an attribute of a business object while using the application. The flexfield validates the value against the set of valid values that you configured as a value set and assigned to the segment.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Related Topics
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Value Sets
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Value Sets for Charts of Accounts
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Create a Value Set for Your Chart of Accounts
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Account Hierarchies
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Trees
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"Trees are hierarchical data models that you can use to organize data, apply business rules, control data access, and improve performance while querying."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"For example, an application maintains data of an organization called Vision Corporation that has two departments: Marketing and Finance. The Finance department has two functional divisions: Receivables and Payables. You can define a tree for Vision Corporation to establish a hierarchy across its departments, and their respective functional divisions. You can use the hierarchy to manage data at various levels of the organization."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"To work with trees, in the Setup and Maintenance work area, use any of the following tasks:"
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Manage Tree Structures: To create and update tree structures. You must first define a tree structure to create a tree.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Manage Trees and Tree Versions: To create and update trees and their versions.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Manage Tree Labels: To create and update tree labels.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree Structures
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"As the name suggests, tree structures provide you the framework to organize data such that you can establish a hierarchy for use by the tree. So, similar to a template, a tree structure guides the creation of a tree."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"A tree is an instance of the tree structure. The root node is the highest nodal point of a tree. Child nodes branch off from the root node. Child nodes at the same level, branching off from a common parent node, are called siblings. Leaves are"
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,details branching off from a node but not extending further down the tree hierarchy. You can create trees for multiple data sources and share them across applications.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree Versions
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"A tree by default has only one version. If required, you can create and maintain more than one editable tree version. At any point, only one tree version must be active. If you edit an existing version, it changes from active to draft. To use it again, you must set it to active. Similar to any other version control system, versions of trees are maintained to track all the changes that a tree undergoes in its life cycle."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree Labels
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"Tree labels are short names given to trees and tree structures. You can label the tree versions for better accessibility and information retrieval. When nodes are created in a tree, the existing tree labels are automatically assigned to the new tree nodes. You can use any table to store the labels and register the label data source with the tree structure."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Related Topics
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree Labels
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree Structures
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Managing Account Hierarchies
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Account hierarchies are defined in Oracle Fusion applications using tree functionality. Each account hierarchy is defined as a tree with one or more versions. Tree versions are used to track account hierarchies as they change over time.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"For example, an account hierarchy to summarize cost of goods has different accounts for 2011, versus 2010. The changes are in the business operations and affect the chart of accounts values."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"Chart of accounts values can be associated with multiple hierarchies by defining multiple trees. Using multiple trees enable create financial reports for different target audiences. For example, you can use different hierarchies to track cost centers either by geography or line of business."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"Before setting up hierarchies, you may want to consider different hierarchy requirements for financial reporting, allocations, cross validation rules, revaluations, and chart of accounts mapping."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Related Topics
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,How Segment Value and Hierarchy Import Data Is Processed
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Segment Values and Hierarchies Interface Tables
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Publish an Account Hierarchy
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"Hierarchies for Cross Validations, Revaluations, and Chart of Accounts Mapping"
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Considerations for Hierarchy Member Names in Financial Reporting and Allocations
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Maintaining Account Hierarchies
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"This topic describes the best practices of maintaining and publishing the account hierarchies. Account hierarchies are used throughout Oracle Fusion General Ledger for creating financial reports, Smart View inquiries, allocation definitions, cross validation rules, and revaluation definitions."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Related Topics
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Account Hierarchy Trees
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Maintenance Hierarchies
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Example of Hierarchy Maintenance
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,FAQs for Manage Account Hierarchies
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,How can I manage and review account hierarchies?
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"View segment value descriptions when creating, editing, or reviewing account hierarchies online. You can also export account hierarchies to a spreadsheet to review, analyze, and report offline."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"To export all nodes in the hierarchies to a spreadsheet, expand all nodes first from View -> Expand All in the Manage Account Hierarchies: Specify Nodes page."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,When do I manually submit row and column flattening for tree versions?
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Row Flattening and Column Flattening for tree versions must be manually submitted in the following scenarios.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,A new tree or tree version is defined
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"If the tree or tree version has any change made to it that would alter the flattened hierarchy data. For example, adding, moving, and duplicating members. Basically, anything that impacts the flattened hierarchy data."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"If Data Relationship Management (DRM) is used with Oracle General Ledger, after running the Load Account Values and Hierarchies process from the Scheduled Process work area to load chart of accounts reference data from DRM to General Ledger."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"When range based hierarchy assignments are supported, if new values are added that are within the account range assigned to the hierarchy."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"Note: In this case, try submitting the flattening programs using the Online Mode first. If the newly inserted child account value does not appear to be included in the flattened hierarchy data, then the flattening program has to be submitted using the Force Flattening Mode , instead of Online Flattening . An issue with the incremental flattening programs can prevent them from picking up this type of hierarchy change, so full flattening can be required."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"Note: Column flattening processed data is primarily relevant to Oracle Fusion Transactional Business Intelligence, but there should not be any adverse impact to run both row and column flattening processes."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Overview of Managing Tree Structures
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"A tree structure defines the hierarchy for creating trees and prescribes rules based on which trees are created, versioned, and accessed. You can associate multiple data sources with a tree structure."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,A tree is an instance of this hierarchy. Every tree structure can contain one or more trees.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"You can create tree structures specific to an application but you can share tree structures across applications. If you apply version control to the tree structure, it's carried over to the trees that are based on the tree structure. Each tree version contains at least one root node. Occasionally, a tree version may have more than one root node."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,An administrator controls the access to tree structures through a set of rules that are periodically audited for validity.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Related Topics
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Guidelines for Defining the Tree Structure
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Guidelines for Managing Tree Structures
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree Structure Audit Results
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Guidelines for Specifying Data Sources for Tree Structures
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Guidelines for Improving the Performance of a Tree Structure
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree Labels
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Tree labels are tags that are stored on tree nodes. You can store labels in any table and register the label data source with the tree structure.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"When a labeling scheme is used for trees, the selected labels are stored in the tree label entity, and each tree node contains a reference to a tree label in the labeling scheme. The following table lists the three ways in which tree labels are assigned to the tree nodes."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Labeling Scheme Description
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Level
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,"Labels that are automatically assigned based on the data source to which the tree node belongs. A level label points to a specific data source. For example, in a tree that reflects the organizational hierarchy of an enterprise, all division nodes appear on one level and all department nodes on another."
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Group
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Labels that you can arbitrarily assign to tree nodes.
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Depth
Oracle Fusion Cloud Financials|3 Financial Reporting Structures,Labels that are automatically assigned based on the depth of the tree node within the tree. No manual assignment is performed.
